2.273737e-13,-2.593041e-01,-5.186276e-01,-7.779704e-01,-1.037332e+00,-1.296714e+00,-1.556114e+00,-1.815534e+00,-2.074974e+00,-2.334432e+00,-2.593910e+00,-2.853407e+00,-3.112923e+00,-3.372459e+00,-3.632014e+00,-3.891588e+00,-4.151181e+00,-4.410793e+00,-4.670425e+00,-4.930076e+00,-5.189746e+00,-5.449436e+00,-5.709144e+00,-5.968872e+00,-6.228619e+00,-6.488385e+00,-6.748170e+00,-7.007974e+00,-7.267798e+00,-7.527641e+00,-7.787503e+00,-8.047383e+00,-8.307284e+00,-8.567203e+00,-8.827141e+00,-9.087099e+00,-9.347075e+00,-9.607071e+00,-9.867086e+00,-1.012712e+01,-1.038717e+01,-1.064724e+01,-1.090734e+01,-1.116745e+01,-1.142757e+01,-1.168772e+01,-1.194789e+01,-1.220808e+01,-1.246828e+01,-1.272851e+01
6.919671e-01,4.327482e-01,1.735100e-01,-8.574756e-02,-3.450244e-01,-6.043206e-01,-8.636361e-01,-1.122971e+00,-1.382325e+00,-1.641698e+00,-1.901091e+00,-2.160503e+00,-2.419934e+00,-2.679385e+00,-2.938854e+00,-3.198343e+00,-3.457852e+00,-3.717379e+00,-3.976926e+00,-4.236492e+00,-4.496077e+00,-4.755681e+00,-5.015305e+00,-5.274948e+00,-5.534610e+00,-5.794291e+00,-6.053991e+00,-6.313711e+00,-6.573450e+00,-6.833207e+00,-7.092984e+00,-7.352781e+00,-7.612596e+00,-7.872430e+00,-8.132284e+00,-8.392157e+00,-8.652049e+00,-8.911960e+00,-9.171890e+00,-9.431839e+00,-9.691807e+00,-9.951795e+00,-1.021180e+01,-1.047183e+01,-1.073187e+01,-1.099193e+01,-1.125202e+01,-1.151212e+01,-1.177224e+01,-1.203238e+01
1.383953e+00,1.124820e+00,8.656668e-01,6.064946e-01,3.473030e-01,8.809203e-02,-1.711382e-01,-4.303878e-01,-6.896567e-01,-9.489449e-01,-1.208252e+00,-1.467579e+00,-1.726925e+00,-1.986291e+00,-2.245675e+00,-2.505079e+00,-2.764502e+00,-3.023945e+00,-3.283406e+00,-3.542887e+00,-3.802388e+00,-4.061907e+00,-4.321446e+00,-4.581003e+00,-4.840580e+00,-5.100177e+00,-5.359792e+00,-5.619427e+00,-5.879081e+00,-6.138754e+00,-6.398446e+00,-6.658157e+00,-6.917888e+00,-7.177638e+00,-7.437406e+00,-7.697194e+00,-7.957001e+00,-8.216828e+00,-8.476673e+00,-8.736538e+00,-8.996421e+00,-9.256324e+00,-9.516246e+00,-9.776187e+00,-1.003615e+01,-1.029613e+01,-1.055612e+01,-1.081614e+01,-1.107618e+01,-1.133623e+01
2.075959e+00,1.816910e+00,1.557843e+00,1.298756e+00,1.039650e+00,7.805240e-01,5.213790e-01,2.622147e-01,3.030993e-03,-2.561720e-01,-5.153943e-01,-7.746359e-01,-1.033897e+00,-1.293177e+00,-1.552477e+00,-1.811795e+00,-2.071133e+00,-2.330491e+00,-2.589867e+00,-2.849263e+00,-3.108678e+00,-3.368113e+00,-3.627566e+00,-3.887039e+00,-4.146531e+00,-4.406042e+00,-4.665573e+00,-4.925123e+00,-5.184692e+00,-5.444280e+00,-5.703887e+00,-5.963514e+00,-6.223159e+00,-6.482824e+00,-6.742508e+00,-7.002211e+00,-7.261934e+00,-7.521675e+00,-7.781436e+00,-8.041215e+00,-8.301014e+00,-8.560832e+00,-8.820669e+00,-9.080526e+00,-9.340401e+00,-9.600295e+00,-9.860209e+00,-1.012014e+01,-1.038009e+01,-1.064006e+01
2.767983e+00,2.509020e+00,2.250038e+00,1.991036e+00,1.732015e+00,1.472975e+00,1.213915e+00,9.548364e-01,6.957380e-01,4.366203e-01,1.774832e-01,-8.167315e-02,-3.408488e-01,-6.000439e-01,-8.592582e-01,-1.118492e+00,-1.377745e+00,-1.637017e+00,-1.896308e+00,-2.155619e+00,-2.414949e+00,-2.674299e+00,-2.933667e+00,-3.193055e+00,-3.452462e+00,-3.711888e+00,-3.971334e+00,-4.230798e+00,-4.490282e+00,-4.749786e+00,-5.009308e+00,-5.268850e+00,-5.528410e+00,-5.787990e+00,-6.047589e+00,-6.307208e+00,-6.566845e+00,-6.826502e+00,-7.086178e+00,-7.345873e+00,-7.605587e+00,-7.865320e+00,-8.125072e+00,-8.384844e+00,-8.644635e+00,-8.904444e+00,-9.164273e+00,-9.424121e+00,-9.683988e+00,-9.943874e+00
3.460026e+00,3.201149e+00,2.942252e+00,2.683336e+00,2.424400e+00,2.165445e+00,1.906471e+00,1.647477e+00,1.388464e+00,1.129432e+00,8.703800e-01,6.113089e-01,3.522185e-01,9.310871e-02,-1.660204e-01,-4.251688e-01,-6.843365e-01,-9.435236e-01,-1.202730e+00,-1.461956e+00,-1.721200e+00,-1.980465e+00,-2.239748e+00,-2.499051e+00,-2.758373e+00,-3.017714e+00,-3.277074e+00,-3.536454e+00,-3.795853e+00,-4.055271e+00,-4.314709e+00,-4.574165e+00,-4.833641e+00,-5.093136e+00,-5.352651e+00,-5.612184e+00,-5.871737e+00,-6.131308e+00,-6.390899e+00,-6.650510e+00,-6.910139e+00,-7.169787e+00,-7.429455e+00,-7.689142e+00,-7.948847e+00,-8.208572e+00,-8.468317e+00,-8.728080e+00,-8.987862e+00,-9.247664e+00
4.152088e+00,3.893296e+00,3.634485e+00,3.375654e+00,3.116804e+00,2.857935e+00,2.599046e+00,2.340137e+00,2.081210e+00,1.822262e+00,1.563296e+00,1.304310e+00,1.045305e+00,7.862806e-01,5.272368e-01,2.681736e-01,9.091095e-03,-2.500107e-01,-5.091318e-01,-7.682723e-01,-1.027432e+00,-1.286611e+00,-1.545809e+00,-1.805027e+00,-2.064264e+00,-2.323520e+00,-2.582795e+00,-2.842090e+00,-3.101404e+00,-3.360737e+00,-3.620090e+00,-3.879461e+00,-4.138852e+00,-4.398262e+00,-4.657691e+00,-4.917140e+00,-5.176608e+00,-5.436095e+00,-5.695601e+00,-5.955126e+00,-6.214670e+00,-6.474234e+00,-6.733817e+00,-6.993419e+00,-7.253040e+00,-7.512680e+00,-7.772339e+00,-8.032018e+00,-8.291716e+00,-8.551432e+00
4.844169e+00,4.585463e+00,4.326737e+00,4.067991e+00,3.809227e+00,3.550443e+00,3.291639e+00,3.032816e+00,2.773974e+00,2.515112e+00,2.256231e+00,1.997331e+00,1.738411e+00,1.479472e+00,1.220513e+00,9.615353e-01,7.025380e-01,4.435215e-01,1.844856e-01,-7.456962e-02,-3.336441e-01,-5.927380e-01,-8.518511e-01,-1.110984e+00,-1.370135e+00,-1.629306e+00,-1.888497e+00,-2.147706e+00,-2.406935e+00,-2.666183e+00,-2.925450e+00,-3.184737e+00,-3.444043e+00,-3.703368e+00,-3.962712e+00,-4.222076e+00,-4.481459e+00,-4.740861e+00,-5.000282e+00,-5.259722e+00,-5.519182e+00,-5.778660e+00,-6.038158e+00,-6.297675e+00,-6.557212e+00,-6.816767e+00,-7.076342e+00,-7.335935e+00,-7.595548e+00,-7.855180e+00
5.536268e+00,5.277647e+00,5.019007e+00,4.760347e+00,4.501668e+00,4.242969e+00,3.984251e+00,3.725514e+00,3.466757e+00,3.207981e+00,2.949185e+00,2.690370e+00,2.431536e+00,2.172682e+00,1.913809e+00,1.654916e+00,1.396004e+00,1.137073e+00,8.781223e-01,6.191524e-01,3.601631e-01,1.011545e-01,-1.578734e-01,-4.169207e-01,-6.759872e-01,-9.350731e-01,-1.194178e+00,-1.453303e+00,-1.712446e+00,-1.971609e+00,-2.230792e+00,-2.489993e+00,-2.749214e+00,-3.008454e+00,-3.267713e+00,-3.526992e+00,-3.786290e+00,-4.045606e+00,-4.304943e+00,-4.564298e+00,-4.823673e+00,-5.083067e+00,-5.342480e+00,-5.601912e+00,-5.861363e+00,-6.120834e+00,-6.380323e+00,-6.639832e+00,-6.899360e+00,-7.158908e+00
6.228386e+00,5.969851e+00,5.711296e+00,5.452722e+00,5.194128e+00,4.935515e+00,4.676882e+00,4.418230e+00,4.159559e+00,3.900868e+00,3.642158e+00,3.383428e+00,3.124679e+00,2.865911e+00,2.607123e+00,2.348316e+00,2.089489e+00,1.830644e+00,1.571778e+00,1.312894e+00,1.053990e+00,7.950663e-01,5.361236e-01,2.771616e-01,1.818029e-02,-2.408203e-01,-4.998403e-01,-7.588795e-01,-1.017938e+00,-1.277016e+00,-1.536113e+00,-1.795229e+00,-2.054365e+00,-2.313520e+00,-2.572694e+00,-2.831888e+00,-3.091100e+00,-3.350332e+00,-3.609584e+00,-3.868854e+00,-4.128144e+00,-4.387453e+00,-4.646781e+00,-4.906128e+00,-5.165494e+00,-5.424880e+00,-5.684285e+00,-5.943709e+00,-6.203152e+00,-6.462614e+00
6.920522e+00,6.662072e+00,6.403603e+00,6.145115e+00,5.886606e+00,5.628079e+00,5.369532e+00,5.110966e+00,4.852380e+00,4.593774e+00,4.335150e+00,4.076505e+00,3.817842e+00,3.559159e+00,3.300457e+00,3.041735e+00,2.782994e+00,2.524233e+00,2.265453e+00,2.006654e+00,1.747835e+00,1.488997e+00,1.230140e+00,9.712632e-01,7.123671e-01,4.534517e-01,1.945170e-01,-6.443700e-02,-3.234103e-01,-5.824030e-01,-8.414150e-01,-1.100446e+00,-1.359497e+00,-1.618567e+00,-1.877656e+00,-2.136764e+00,-2.395892e+00,-2.655039e+00,-2.914205e+00,-3.173390e+00,-3.432595e+00,-3.691819e+00,-3.951062e+00,-4.210324e+00,-4.469605e+00,-4.728906e+00,-4.988226e+00,-5.247565e+00,-5.506924e+00,-5.766301e+00
