# amplitude,frequency_hz,phase_deg,ux,uy,k_wave,atten
9.999886e+02,1.000000e+06,0.000000e+00,1.419212e-01,9.898780e-01,2.094395e-02,9.999886e-01
9.999886e+02,1.000000e+06,1.200000e+02,-4.072628e-01,9.133110e-01,2.094395e-02,9.999886e-01
9.999886e+02,1.000000e+06,2.400000e+02,2.932322e-01,-9.560412e-01,2.094395e-02,9.999886e-01
