time_s,force_N
0.000000e+00,0.000000e+00
1.000000e-04,3.928773e-09
2.000000e-04,7.857547e-09
3.000000e-04,1.254732e-07
4.000000e-04,1.571509e-08
5.000000e-04,3.214166e-07
6.000000e-04,2.509463e-07
7.000000e-04,5.409328e-07
8.000000e-04,3.143019e-08
9.000000e-04,3.057016e-07
1.000000e-03,6.428333e-07
1.100000e-03,7.047033e-08
1.200000e-03,5.018926e-07
1.300000e-03,1.647609e-07
1.400000e-03,1.081866e-06
1.500000e-03,5.095026e-07
1.600000e-03,6.286038e-08
1.700000e-03,6.352233e-07
1.800000e-03,6.114031e-07
1.900000e-03,3.904014e-08
2.000000e-03,1.285667e-06
2.100000e-03,1.105686e-06
2.200000e-03,1.409407e-07
2.300000e-03,1.387567e-06
2.400000e-03,1.003785e-06
2.500000e-03,2.428412e-07
2.600000e-03,3.295218e-07
2.700000e-03,9.018847e-07
2.800000e-03,2.163731e-06
2.900000e-03,1.591368e-06
3.000000e-03,1.019005e-06
3.100000e-03,4.466422e-07
3.200000e-03,1.257208e-07
3.300000e-03,2.939895e-06
3.400000e-03,1.270447e-06
3.500000e-03,1.795169e-06
3.600000e-03,1.222806e-06
3.700000e-03,6.504432e-07
3.800000e-03,7.808028e-08
3.900000e-03,4.942827e-07
4.000000e-03,2.571333e-06
4.100000e-03,1.639009e-06
4.200000e-03,2.211372e-06
4.300000e-03,8.542443e-07
4.400000e-03,2.818813e-07
4.500000e-03,2.904816e-07
4.600000e-03,2.775134e-06
4.700000e-03,2.202771e-06
4.800000e-03,2.007571e-06
4.900000e-03,4.696024e-06
5.000000e-03,4.856824e-07
5.100000e-03,8.668061e-08
5.200000e-03,6.590436e-07
5.300000e-03,1.231407e-06
5.400000e-03,1.803769e-06
5.500000e-03,2.376132e-06
5.600000e-03,4.327462e-06
5.700000e-03,3.755099e-06
5.800000e-03,3.182736e-06
5.900000e-03,2.610373e-06
6.000000e-03,2.038010e-06
6.100000e-03,1.465647e-06
6.200000e-03,8.932844e-07
6.300000e-03,3.209215e-07
6.400000e-03,2.514415e-07
6.500000e-03,8.238045e-07
6.600000e-03,5.879790e-06
6.700000e-03,1.968530e-06
6.800000e-03,2.540893e-06
6.900000e-03,3.113256e-06
7.000000e-03,3.590338e-06
7.100000e-03,3.017975e-06
7.200000e-03,2.445612e-06
7.300000e-03,1.873249e-06
7.400000e-03,1.300886e-06
7.500000e-03,7.285235e-07
7.600000e-03,1.561606e-07
7.700000e-03,4.162024e-07
7.800000e-03,9.885654e-07
7.900000e-03,1.560928e-06
8.000000e-03,5.142666e-06
8.100000e-03,4.570303e-06
8.200000e-03,3.278017e-06
8.300000e-03,3.425577e-06
8.400000e-03,4.422743e-06
8.500000e-03,2.280852e-06
