# waveform,peak,rms,crest_factor,mean
sine,9.248262706086503e-10,2.471870996885383e-10,3.7414018440847188,-7.094641834934158e-11
square,1.0,0.9999499987499375,1.0000500037503126,-0.2495
triangle,5.887626898744382e-10,1.5736419513591987e-10,3.7414018440847188,-4.5165892699853035e-11
