Step,Velocity²
154,4.564557084738e-08
155,4.62364428745166e-08
156,4.6831114644340816e-08
157,4.742958615536382e-08
158,4.8031857406087315e-08
159,4.863792839500347e-08
160,4.924779912059492e-08
161,4.986146958133484e-08
162,5.047893977568686e-08
163,5.110020970210512e-08
164,5.1725279359034206e-08
165,5.235414874490927e-08
166,5.298681785815588e-08
167,5.3623286697190114e-08
168,5.426355526041858e-08
169,5.4907623546238346e-08
170,5.5555491553036954e-08
171,5.620715927919247e-08
172,5.686262672307342e-08
173,5.752189388303884e-08
174,5.8184960757438244e-08
175,5.885182734461165e-08
176,5.952249364288956e-08
177,6.019695965059297e-08
178,6.087522536603335e-08
179,6.15572907875127e-08
180,6.224315591332346e-08
181,6.29328207417486e-08
182,6.362628527106155e-08
183,6.432354949952626e-08
184,6.502461342539715e-08
185,6.572947704691916e-08
186,6.643814036232768e-08
187,6.715060336984862e-08
188,6.786686606769838e-08
189,6.858692845408382e-08
190,6.931079052720236e-08
191,7.003845228524183e-08
192,7.076991372638061e-08
193,7.150517484878754e-08
194,7.224423565062197e-08
195,7.298709613003373e-08
196,7.373375628516314e-08
197,7.448421611414103e-08
198,7.523847561508873e-08
199,7.599653478611797e-08
200,7.675839362533113e-08
201,7.752405213082095e-08
202,7.829351030067072e-08
203,7.906676813295422e-08
204,7.984382562573571e-08
205,8.062468277706991e-08
206,8.140933958500212e-08
207,8.219779604756804e-08
208,8.299005216279394e-08
209,8.378610792869653e-08
210,8.458596334328302e-08
211,8.538961840455116e-08
212,8.619707311048908e-08
213,8.700832745907555e-08
214,8.782338144827973e-08
215,8.86422350760613e-08
216,8.946488834037045e-08
217,9.029134123914786e-08
218,9.112159377032467e-08
219,9.195564593182252e-08
220,9.279349772155362e-08
221,9.363514913742058e-08
222,9.448060017731654e-08
223,9.532985083912513e-08
224,9.618290112072047e-08
225,9.703975101996718e-08
226,9.790040053472039e-08
227,9.876484966282568e-08
228,9.96330984021192e-08
229,1.0050514675042749e-07
230,1.0138099470556766e-07
231,1.0226064226534731e-07
232,1.031440894275645e-07
233,1.0403133619000782e-07
234,1.0492238255045633e-07
235,1.0581722850667958e-07
236,1.0671587405643761e-07
237,1.0761831919748104e-07
238,1.0852456392755084e-07
239,1.094346082443786e-07
240,1.1034845214568632e-07
241,1.112660956291866e-07
242,1.1218753869258238e-07
243,1.1311278133356721e-07
244,1.1404182354982516e-07
245,1.1497466533903067e-07
246,1.1591130669884879e-07
247,1.1685174762693501e-07
248,1.1779598812093534e-07
249,1.1874402817848627e-07
250,1.1969586779721477e-07
251,1.2065150697473835e-07
252,1.2161094570866498e-07
253,1.2257418399659316e-07
254,1.2354122183611185e-07
255,1.2451205922480053e-07
256,1.2548669616022917e-07
257,1.264651326399582e-07
258,1.274473686615386e-07
259,1.2843340422251188e-07
260,1.2942323932040993e-07
261,1.3041687395275522e-07
262,1.314143081170607e-07
263,1.324155418108298e-07
264,1.3342057503155646e-07
265,1.3442940777672512e-07
266,1.3544204004381076e-07
267,1.364584718302788e-07
268,1.374787031335851e-07
269,1.385027339511762e-07
270,1.3953056428048889e-07
271,1.4056219411895074e-07
272,1.4159762346397953e-07
273,1.426368523129838e-07
274,1.436798806633624e-07
275,1.4472670851250477e-07
276,1.457773358577908e-07
277,1.4683176269659093e-07
278,1.4788998902626606e-07
279,1.4895201484416756e-07
280,1.5001784014763738e-07
281,1.510874649340079e-07
282,1.5216088920060205e-07
283,1.532381129447332e-07
284,1.543191361637053e-07
285,1.554039588548127e-07
286,1.5649258101534034e-07
287,1.5758500264256356e-07
288,1.586812237337483e-07
289,1.59781244286151e-07
290,1.6088506429701842e-07
291,1.6199268376358813e-07
292,1.631041026830879e-07
293,1.6421932105273621e-07
294,1.6533833886974185e-07
295,1.664611561313043e-07
296,1.6758777283461343e-07
297,1.6871818897684962e-07
298,1.698524045551838e-07
299,1.7099041956677734e-07
300,1.7213223400878211e-07
301,1.7327784787834055e-07
302,1.7442726117258555e-07
303,1.7558047388864054e-07
304,1.7673748602361935e-07
305,1.7789829757462637e-07
306,1.790629085387566e-07
307,1.8023131891309536e-07
308,1.8140352869471854e-07
309,1.8257953788069263e-07
310,1.8375934646807447e-07
311,1.8494295445391147e-07
312,1.8613036183524159e-07
313,1.8732156860909314e-07
314,1.885165747724851e-07
315,1.8971538032242696e-07
316,1.9091798525591845e-07
317,1.9212438956995014e-07
318,1.9333459326150293e-07
319,1.9454859632754816e-07
320,1.9576639876504783e-07
321,1.9698800057095438e-07
322,1.982134017422107e-07
323,1.9944260227575018e-07
324,2.0067560216849688e-07
325,2.0191240141736515e-07
326,2.0315300001925996e-07
327,2.043973979710767e-07
328,2.0564559526970143e-07
329,2.0689759191201052e-07
330,2.0815338789487093e-07
331,2.094129832151402e-07
332,2.1067637786966614e-07
333,2.1194357185528732e-07
334,2.1321456516883278e-07
335,2.1448935780712185e-07
336,2.1576794976696457e-07
337,2.1705034104516151e-07
338,2.1833653163850347e-07
339,2.1962652154377212e-07
340,2.2092031075773935e-07
341,2.2221789927716773e-07
342,2.2351928709881022e-07
343,2.2482447421941036e-07
344,2.2613346063570218e-07
345,2.2744624634441016e-07
346,2.2876283134224934e-07
347,2.3008321562592534e-07
348,2.3140739919213404e-07
349,2.3273538203756208e-07
350,2.3406716415888653e-07
351,2.354027455527749e-07
352,2.3674212621588527e-07
353,2.3808530614486625e-07
354,2.3943228533635683e-07
355,2.4078306378698663e-07
356,2.421376414933757e-07
357,2.434960184521348e-07
358,2.4485819465986487e-07
359,2.4622417011315754e-07
360,2.4759394480859493e-07
361,2.489675187427497e-07
362,2.503448919121849e-07
363,2.517260643134543e-07
364,2.531110359431019e-07
365,2.5449980679766246e-07
366,2.5589237687366116e-07
367,2.5728874616761353e-07
368,2.586889146760258e-07
369,2.6009288239539474e-07
370,2.6150064932220745e-07
371,2.6291221545294177e-07
372,2.643275807840657e-07
373,2.65746745312038e-07
374,2.67169709033308e-07
375,2.6859647194431544e-07
376,2.700270340414905e-07
377,2.7146139532125387e-07
378,2.72899555780017e-07
379,2.743415154141815e-07
380,2.757872742201397e-07
381,2.772368321942744e-07
382,2.786901893329589e-07
383,2.80147345632557e-07
384,2.81608301089423e-07
385,2.830730556999018e-07
386,2.845416094603286e-07
387,2.860139623670294e-07
388,2.874901144163206e-07
389,2.8897006560450883e-07
390,2.9045381592789175e-07
391,2.91941365382757e-07
392,2.9343271396538325e-07
393,2.9492786167203915e-07
394,2.964268084989844e-07
395,2.9792955444246867e-07
396,2.9943609949873255e-07
397,3.00946443664007e-07
398,3.0246058693451343e-07
399,3.0397852930646394e-07
400,3.055002707760609e-07
401,3.0702581133949744e-07
402,3.0855515099295697e-07
403,3.1008828973261365e-07
404,3.116252275546318e-07
405,3.131659644551668e-07
406,3.14710500430364e-07
407,3.162588354763595e-07
408,3.1781096958927995e-07
409,3.193669027652425e-07
410,3.2092663500035467e-07
411,3.224901662907146e-07
412,3.2405749663241113e-07
413,3.2562862602152324e-07
414,3.2720355445412067e-07
415,3.287822819262636e-07
416,3.3036480843400277e-07
417,3.319511339733793e-07
418,3.335412585404251e-07
419,3.351351821311623e-07
420,3.3673290474160373e-07
421,3.383344263677526e-07
422,3.3993974700560275e-07
423,3.415488666511384e-07
424,3.4316178530033467e-07
425,3.4477850294915655e-07
426,3.463990195935601e-07
427,3.480233352294916e-07
428,3.49651449852888e-07
429,3.512833634596767e-07
430,3.5291907604577567e-07
431,3.545585876070932e-07
432,3.5620189813952843e-07
433,3.578490076389707e-07
434,3.594999161013e-07
435,3.6115462352238683e-07
436,3.6281312989809233e-07
437,3.6447543522426796e-07
438,3.661415394967558e-07
439,3.678114427113884e-07
440,3.6948514486398877e-07
441,3.7116264595037076e-07
442,3.7284394596633824e-07
443,3.74529044907686e-07
444,3.762179427701992e-07
445,3.779106395496535e-07
446,3.79607135241815e-07
