# waveform,peak,rms,crest_factor,mean
sine,9.24815729033494e-10,2.471842821416413e-10,3.7414018440847183,-7.094560967097151e-11
square,0.9999886015617296,0.9999386008816031,1.0000500037503126,-0.24949715608965153
triangle,5.887559788992617e-10,1.5736240142985565e-10,3.7414018440847188,-4.5165377879213166e-11
